draw_date,n1,n2,n3,n4,n5,n6,jolly,superstar
2024-08-22,17,18,24,34,57,82,68,21
2024-08-20,17,23,45,57,64,89,15,31
2024-08-19,4,7,15,24,36,78,65,85
2024-08-17,6,22,43,60,66,73,31,31
2024-08-16,1,6,13,20,73,85,11,73
2024-08-13,41,43,55,65,80,85,76,74
2024-08-10,13,14,49,55,71,77,62,32
2024-08-09,23,40,60,79,80,87,50,69
2024-08-08,3,16,17,54,61,90,4,21
2024-08-06,4,11,85,86,87,88,38,2
2024-08-03,6,37,69,73,79,88,4,7
2024-08-02,34,42,69,76,81,85,36,49
2024-08-01,33,39,78,79,83,84,60,88
2024-07-30,11,13,22,34,54,77,35,72
2024-07-27,13,14,25,34,59,84,71,17
2024-07-26,1,14,21,35,64,85,70,5
2024-07-25,2,21,23,56,69,87,52,42
2024-07-23,24,59,63,64,82,90,62,24
2024-07-20,45,48,50,57,70,71,80,52
2024-07-19,13,20,39,48,74,89,47,50
2024-07-18,13,23,35,36,57,64,47,5
2024-07-16,3,18,26,54,61,72,85,30
2024-07-13,6,9,54,63,64,68,43,84
2024-07-12,43,54,60,70,75,89,30,20
2024-07-11,10,31,40,59,80,85,13,48
2024-07-09,8,26,32,34,53,58,25,78
2024-07-06,18,24,26,33,34,47,35,30
2024-07-05,10,21,23,26,35,50,87,76
2024-07-04,15,25,42,53,56,73,60,61
2024-07-02,4,7,39,71,79,89,1,11
2024-06-29,11,18,25,26,54,84,17,69
2024-06-28,21,26,33,34,45,86,28,80
2024-06-27,13,28,63,76,80,85,21,54
2024-06-25,3,18,49,63,68,82,78,51
2024-06-22,3,25,57,69,71,87,48,62
2024-06-21,21,23,28,59,79,82,74,81
2024-06-20,19,31,39,60,72,80,5,49
2024-06-18,20,32,49,50,51,58,44,59
2024-06-15,6,16,22,69,73,78,67,38
2024-06-14,15,60,82,85,86,87,45,42
2024-06-13,5,22,47,54,63,84,85,82
2024-06-11,14,27,34,47,73,88,52,52
2024-06-08,6,8,14,15,59,79,66,2
2024-06-07,39,51,52,58,72,84,11,37
2024-06-06,43,44,45,50,67,76,69,9
2024-06-04,4,18,28,41,61,75,17,72
2024-06-01,4,13,47,75,80,82,83,22
2024-05-31,14,20,24,49,83,84,62,45
2024-05-30,10,14,16,40,50,55,4,31
2024-05-28,19,41,67,76,82,85,23,10
2024-05-25,2,10,28,37,56,75,41,58
2024-05-24,2,36,39,50,59,64,19,3
2024-05-23,4,10,19,50,71,83,27,11
2024-05-21,3,28,49,72,83,84,5,17
2024-05-18,2,20,31,48,58,59,46,30
2024-05-17,13,14,41,53,60,65,5,45
2024-05-16,10,11,27,31,66,83,25,57
2024-05-14,11,27,39,43,61,85,52,43
2024-05-11,21,29,34,36,46,51,41,60
2024-05-10,6,20,40,55,71,80,12,75
2024-05-09,23,36,38,62,75,81,82,62
2024-05-07,21,23,30,45,68,85,53,89
2024-05-04,5,18,22,34,52,66,33,46
2024-05-03,17,23,43,48,52,66,88,3
2024-05-02,14,43,54,69,80,90,1,57
2024-04-30,6,7,11,20,33,81,74,8
2024-04-29,17,27,44,50,66,85,3,32
2024-04-27,24,27,41,54,62,63,37,37
2024-04-26,9,13,51,61,81,83,24,59
2024-04-23,8,12,20,24,45,73,4,3
2024-04-20,26,34,40,53,60,68,82,19
2024-04-19,9,18,65,70,75,87,53,81
2024-04-18,15,27,42,53,65,85,88,49
2024-04-16,1,3,11,53,75,81,61,26
2024-04-13,1,6,7,11,79,88,15,26
2024-04-12,10,23,47,49,84,85,5,24
2024-04-11,8,31,67,77,81,86,10,62
2024-04-09,15,23,31,45,51,58,60,64
2024-04-06,14,33,53,54,64,78,39,85
2024-04-05,23,40,42,60,62,63,26,80
2024-04-04,8,33,36,41,51,68,71,8
2024-04-02,28,39,40,44,72,76,52,52
2024-03-30,8,25,28,45,54,66,89,28
2024-03-29,20,30,32,38,61,67,60,6
2024-03-28,5,9,22,69,74,84,80,83
2024-03-26,2,24,43,74,81,85,63,40
2024-03-23,32,34,57,58,67,79,61,66
2024-03-22,13,16,59,66,77,79,82,75
2024-03-21,2,8,17,73,77,84,4,84
2024-03-19,4,19,58,60,67,82,48,29
2024-03-16,12,38,45,66,70,73,58,85
2024-03-15,5,6,7,50,72,74,82,26
2024-03-14,14,23,51,55,68,76,77,86
2024-03-12,7,25,46,67,69,86,23,77
2024-03-09,10,30,36,49,55,62,32,66
2024-03-08,9,16,23,50,53,79,55,84
2024-03-07,3,13,24,60,70,75,71,30
2024-03-05,16,43,53,79,80,82,74,61
2024-03-02,26,50,51,55,85,87,14,19
2024-03-01,5,16,44,61,80,90,25,16
2024-02-29,13,28,36,41,79,88,30,32
2024-02-27,27,33,41,73,79,90,34,39
2024-02-24,41,43,46,47,63,87,30,44
2024-02-23,38,54,57,66,74,88,75,57
2024-02-22,29,30,43,44,75,87,1,85
2024-02-20,5,30,36,43,48,78,79,51
2024-02-17,3,11,25,34,46,64,53,75
2024-02-16,20,30,37,83,88,89,77,66
2024-02-15,34,38,61,71,74,83,80,79
2024-02-13,27,34,37,42,53,76,60,55
2024-02-10,43,62,72,73,85,86,58,17
